phase,url,source_file,page_type,title,title_length,meta_description,description_length,canonical,robots_directives,lang,author,og_title,og_description,og_url,og_type,og_image,twitter_card,duplicate_title,duplicate_description,issues
baseline,https://python.robertdevore.com/about/,content/pages/about.md,about,About This Site | Python Course,31,Learn about the complete Python development course and the Kujo SSG and SiteKit stack behind it.,96,https://python.robertdevore.com/about/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,About This Site,Learn about the complete Python development course and the Kujo SSG and SiteKit stack behind it.,https://python.robertdevore.com/about/,website,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/advanced-data-structures-and-algorithms/,content/posts/advanced-data-structures-and-algorithms.md,lesson,3.1. Advanced Data Structures & Algorithms | Python Course,58,Go beyond the basics with built-in and specialized data structures that make your code faster and more efficient for real-world tasks.,134,https://python.robertdevore.com/course/advanced-data-structures-and-algorithms/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,3.1. Advanced Data Structures & Algorithms,Go beyond the basics with built-in and specialized data structures that make your code faster and more efficient for real-world tasks.,https://python.robertdevore.com/course/advanced-data-structures-and-algorithms/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/basic-error-handling/,content/posts/basic-error-handling.md,lesson,1.5. Basic Error Handling | Python Course,41,"Prepare for inevitable mistakes - catch, handle, and recover from errors so your scripts don't just crash at the first sign of trouble.",135,https://python.robertdevore.com/course/basic-error-handling/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,1.5. Basic Error Handling,"Prepare for inevitable mistakes - catch, handle, and recover from errors so your scripts don't just crash at the first sign of trouble.",https://python.robertdevore.com/course/basic-error-handling/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/building-and-consuming-apis/,content/posts/building-and-consuming-apis.md,lesson,3.4. Building and Consuming APIs | Python Course,48,"APIs (Application Programming Interfaces) are the backbone of modern software development, enabling applications to communicate with each other over the internet. In this chapter, you'll…",187,https://python.robertdevore.com/course/building-and-consuming-apis/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,3.4. Building and Consuming APIs,"APIs (Application Programming Interfaces) are the backbone of modern software development, enabling applications to communicate with each other over the internet. In this chapter, you'll…",https://python.robertdevore.com/course/building-and-consuming-apis/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/chapter-1-beginner-python/,content/posts/chapter-1-beginner-python.md,lesson,Chapter 1: Beginner Python | Python Course,42,Congratulations on taking the first step toward learning one of the world's most popular and versatile programming languages! Whether you're completely new to programming or coming from…,186,https://python.robertdevore.com/course/chapter-1-beginner-python/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,Chapter 1: Beginner Python,Congratulations on taking the first step toward learning one of the world's most popular and versatile programming languages! Whether you're completely new to programming or coming from…,https://python.robertdevore.com/course/chapter-1-beginner-python/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/chapter-2-intermediate-python/,content/posts/chapter-2-intermediate-python.md,lesson,Chapter 2: Intermediate Python | Python Course,46,"Congratulations on completing the fundamentals! If you've made it through Chapter 1, you now have the basic tools to write Python scripts, manipulate data, control program flow, and…",182,https://python.robertdevore.com/course/chapter-2-intermediate-python/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,Chapter 2: Intermediate Python,"Congratulations on completing the fundamentals! If you've made it through Chapter 1, you now have the basic tools to write Python scripts, manipulate data, control program flow, and…",https://python.robertdevore.com/course/chapter-2-intermediate-python/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/chapter-3-advanced-python/,content/posts/chapter-3-advanced-python.md,lesson,Chapter 3. Advanced Python | Python Course,42,"For serious developers and those building production-grade applications. Focus: efficiency, scalability, and best practices.",124,https://python.robertdevore.com/course/chapter-3-advanced-python/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,Chapter 3. Advanced Python,"For serious developers and those building production-grade applications. Focus: efficiency, scalability, and best practices.",https://python.robertdevore.com/course/chapter-3-advanced-python/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/concurrency-and-parallelism/,content/posts/concurrency-and-parallelism.md,lesson,3.3. Concurrency & Parallelism | Python Course,46,"Modern applications demand speed and responsiveness. Users expect web pages to load quickly, data processing to happen in real-time, and interfaces to remain interactive even during…",182,https://python.robertdevore.com/course/concurrency-and-parallelism/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,3.3. Concurrency & Parallelism,"Modern applications demand speed and responsiveness. Users expect web pages to load quickly, data processing to happen in real-time, and interfaces to remain interactive even during…",https://python.robertdevore.com/course/concurrency-and-parallelism/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/course-conclusion-from-python-novice-to-professional-developer/,content/posts/course-conclusion-from-python-novice-to-professional-developer.md,lesson,Course Conclusion: From Python Novice to Professional Developer | Python Course,79,"Congratulations! You've just completed a comprehensive journey through Python development that has taken you from writing your first ""Hello, World!"" script to building production-ready…",185,https://python.robertdevore.com/course/course-conclusion-from-python-novice-to-professional-developer/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,Course Conclusion: From Python Novice to Professional Developer,"Congratulations! You've just completed a comprehensive journey through Python development that has taken you from writing your first ""Hello, World!"" script to building production-ready…",https://python.robertdevore.com/course/course-conclusion-from-python-novice-to-professional-developer/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/exceptions-and-robust-error-handling/,content/posts/exceptions-and-robust-error-handling.md,lesson,2.4. Exceptions & Robust Error Handling | Python Course,55,Learn to catch and handle errors cleanly so your code doesn't crash--and users see helpful messages instead of tracebacks.,122,https://python.robertdevore.com/course/exceptions-and-robust-error-handling/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,2.4. Exceptions & Robust Error Handling,Learn to catch and handle errors cleanly so your code doesn't crash--and users see helpful messages instead of tracebacks.,https://python.robertdevore.com/course/exceptions-and-robust-error-handling/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/file-io-and-data-persistence/,content/posts/file-io-and-data-persistence.md,lesson,2.2. File I/O & Data Persistence | Python Course,48,"Learn to read from and write to files, handle different formats, and make your programs interact with real data that survives after your script ends.",149,https://python.robertdevore.com/course/file-io-and-data-persistence/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,2.2. File I/O & Data Persistence,"Learn to read from and write to files, handle different formats, and make your programs interact with real data that survives after your script ends.",https://python.robertdevore.com/course/file-io-and-data-persistence/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/functions-and-modules/,content/posts/functions-and-modules.md,lesson,1.4. Functions & Modules | Python Course,40,"Organize your code into reusable chunks, make it more readable, and start building real programs by leveraging Python's modular design.",135,https://python.robertdevore.com/course/functions-and-modules/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,1.4. Functions & Modules,"Organize your code into reusable chunks, make it more readable, and start building real programs by leveraging Python's modular design.",https://python.robertdevore.com/course/functions-and-modules/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/generators-decorators-and-context-managers/,content/posts/generators-decorators-and-context-managers.md,lesson,"3.2. Generators, Decorators and Context Managers | Python Course",64,"These three features represent some of Python's most powerful and ""Pythonic"" constructs. They allow you to write cleaner, more efficient, and more maintainable code by managing state,…",184,https://python.robertdevore.com/course/generators-decorators-and-context-managers/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,"3.2. Generators, Decorators and Context Managers","These three features represent some of Python's most powerful and ""Pythonic"" constructs. They allow you to write cleaner, more efficient, and more maintainable code by managing state,…",https://python.robertdevore.com/course/generators-decorators-and-context-managers/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/,templates/page-course.html,course-collection,Python Course Curriculum | Python Course,40,"Browse all Python lessons from beginner fundamentals through testing, APIs, concurrency, and professional package distribution.",127,https://python.robertdevore.com/course/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,Python Course Curriculum,"Browse all Python lessons from beginner fundamentals through testing, APIs, concurrency, and professional package distribution.",https://python.robertdevore.com/course/,website,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/introduction-to-testing/,content/posts/introduction-to-testing.md,lesson,2.5. Introduction to Testing | Python Course,44,"Get started with writing and running tests so your code stays reliable, refactor-safe, and bug-free as it grows.",112,https://python.robertdevore.com/course/introduction-to-testing/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,2.5. Introduction to Testing,"Get started with writing and running tests so your code stays reliable, refactor-safe, and bug-free as it grows.",https://python.robertdevore.com/course/introduction-to-testing/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/object-oriented-programming/,content/posts/object-oriented-programming.md,lesson,2.1. Object-Oriented Programming (OOP) | Python Course,54,Object-Oriented Programming (OOP) is a programming paradigm that organizes code around objects rather than functions and logic. Think of it as a way to model real-world concepts in your…,186,https://python.robertdevore.com/course/object-oriented-programming/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,2.1. Object-Oriented Programming (OOP),Object-Oriented Programming (OOP) is a programming paradigm that organizes code around objects rather than functions and logic. Think of it as a way to model real-world concepts in your…,https://python.robertdevore.com/course/object-oriented-programming/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/packaging-distribution-and-best-practices/,content/posts/packaging-distribution-and-best-practices.md,lesson,"3.5. Packaging, Distribution, and Best Practices | Python Course",64,"Transform your Python scripts into professional, reusable packages that others can install with pip . Learn industry-standard practices for code organization, documentation, testing, and…",187,https://python.robertdevore.com/course/packaging-distribution-and-best-practices/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,"3.5. Packaging, Distribution, and Best Practices","Transform your Python scripts into professional, reusable packages that others can install with pip . Learn industry-standard practices for code organization, documentation, testing, and…",https://python.robertdevore.com/course/packaging-distribution-and-best-practices/,article,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
baseline,https://python.robertdevore.com/course/page/2/,templates/page-course.html,course-pagination,Python Course Curriculum - Page 2 | Python Course,49,Continue the Python development curriculum on page 2 of 4.,58,https://python.robertdevore.com/course/page/2/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,Python Course Curriculum - Page 2,Continue the Python development curriculum on page 2 of 4.,https://python.robertdevore.com/course/page/2/,website,https://python.robertdevore.com/assets/images/python-course-social.png,summary_large_image,false,false,
